title	abstract	url	authors
AEMIM: Adversarial Examples Meet Masked Image Modeling.	Masked image modeling (MIM) has shown remarkable prowess in self-supervised representation learning. While reconstructing corrupted images has emerged as an alternative pretext task, existing methods often rely on generic corruptions generated by auxiliary models, incurring significant computational costs and lacking targeted difficulty relevant to the pre-training objective. To address these limitations, we propose Adversarial Examples Meet Masked Image Modeling (AEMIM), a novel framework that incorporates adversarial examples (AEs) as challenging reconstruction inputs. AEs are generated online using the model being trained, eliminating the need for extra generators and enhancing efficiency. Specifically, AEMIM introduces an auxiliary pretext task focused on reconstructing AEs corresponding to the original masked images, complementing the primary MIM task. Crucially, we devise an innovative adversarial attack strategy tailored for MIM, utilizing the feature-space distance between clean and adversarial encoder representations as the adversarial loss. This directly targets encoder robustness and avoids pitfalls associated with using reconstruction loss for AE generation. Adapters are employed to facilitate stable co-training with clean and adversarial data streams. Our method acts as a versatile plug-in, compatible with various MIM strategies and model architectures. Comprehensive experiments demonstrate that AEMIM significantly enhances the generalization and robustness of pre-trained models. Notably, AEMIM surpasses strong baselines like MAE on ImageNet classification, its IID and OOD variants, and downstream tasks including object detection, instance segmentation, and semantic segmentation. A fast version, Fast AEMIM, is also presented, offering a compelling trade-off between performance and efficiency.	https://doi.org/10.1007/s11263-026-02741-2	Wenzhao Xiang, Chang Liu, Hang Su, Hongyang Yu
AITTI: Learning Adaptive Inclusive Token for Text-to-Image Generation.	Despite the high-quality results of text-to-image generation, stereotypical biases have been spotted in their generated content, compromising the fairness of generative models. In this work, we propose to learn adaptive inclusive tokens to shift the attribute distribution of the final generative outputs. Unlike existing debiasing methods, our approach operates without explicit attribute class specification during inference or prior knowledge of the original bias distribution. Specifically, the core of our method is a lightweight adaptive mapping network, which can customize the inclusive tokens for the concepts to be de-biased, making the tokens generalizable to unseen concepts regardless of their original bias distributions. This is achieved by tuning the adaptive mapping network with a handful of balanced and inclusive samples using an anchor loss. Experimental results demonstrate that our method outperforms previous bias mitigation methods without attribute specification while preserving the alignment between generative results and text descriptions. Moreover, our method achieves comparable performance to models that require specific attribute classes or editing directions for generation. Extensive experiments showcase the effectiveness of our adaptive inclusive tokens in mitigating stereotypical bias in text-to-image generation. The code is publicly available at https://github.com/itsmag11/AITTI.	https://doi.org/10.1007/s11263-025-02727-6	Xinyu Hou, Xiaoming Li, Chen Change Loy
Affective Image Editing: Shaping Emotional Factors via Text Descriptions.	In daily life, images as common affective stimuli have widespread applications. Despite significant progress in text-driven image editing, there is limited work focusing on understanding users' emotional requests. In this paper, we introduce AIEdiT for Affective Image Editing using Text descriptions, which evokes specific emotions by adaptively shaping multiple emotional factors across the entire image. To represent universal emotional priors, we build the continuous emotional spectrum and extract nuanced emotional requests. To manipulate emotional factors, we design the emotional mapper to translate visually-abstract emotional requests to visually-concrete semantic representations. To ensure that editing results evoke specific emotions, we introduce an MLLM to supervise the model training. During inference, we strategically distort visual elements and subsequently shape corresponding emotional factors to edit images according to users' instructions. Additionally, we introduce a large-scale dataset that includes the emotion-aligned text and image pair set for training and evaluation. Extensive experiments demonstrate that AIEdiT achieves superior performance, effectively reflecting users' emotional requests.	https://doi.org/10.1007/s11263-025-02678-y	Peixuan Zhang, Shuchen Weng, Chengxuan Zhu, Binghao Tang, Zijian Jia, Si Li, Boxin Shi
AmPLe: Supporting Vision-Language Models via Adaptive-Debiased Ensemble Multi-Prompt Learning.	Multi-prompt learning methods have emerged as an effective approach for facilitating the rapid adaptation of vision-language models to downstream tasks with limited resources. Existing multi-prompt learning methods primarily focus on utilizing various meticulously designed prompts within a single foundation vision-language model to achieve superior performance. However, the overlooked model-prompt matching bias hinders the development of multi-prompt learning, i.e., the same prompt can convey different semantics across distinct vision-language models, such as CLIP-ViT-B/16 and CLIP-ViT-B/32, resulting in inconsistent predictions of identical prompt. To mitigate the impact of this bias on downstream tasks, we explore an ensemble learning approach to sufficiently aggregate the benefits of diverse predictions. Additionally, we further disclose the presence of sample-prompt matching bias, which originates from the prompt-irrelevant semantics encapsulated in the input samples. Thus, directly utilizing all information from the input samples for generating weights of ensemble learning can lead to suboptimal performance. In response, we extract prompt-relevant semantics from input samples by leveraging the guidance of the information theory-based analysis, adaptively calculating debiased ensemble weights. Overall, we propose Adaptive-Debiased Ensemble Multi-Prompt Learning, abbreviated as AmPLe, to mitigate the two types of bias simultaneously. Extensive experiments on three representative tasks, i.e., generalization to novel classes, new target datasets, and unseen domain shifts, show that AmPLe can widely outperform existing methods. Theoretical validation from a causal perspective further supports the effectiveness of AmPLe. The source code can be accessed at https://github.com/FF2127/AmPLe.	https://doi.org/10.1007/s11263-025-02591-4	Fei Song, Yi Li, Jiangmeng Li, Rui Wang, Changwen Zheng, Fanjiang Xu, Hui Xiong
An Effective-Efficient Approach for Dense Multi-Label Action Detection.	Unlike the sparse label action detection task, where a single action occurs in each timestamp of a video, in a dense multi-label scenario, actions can overlap temporally. To address this challenging task, it is necessary to simultaneously learn (i) co-occurrence action relationships and (ii) temporal dependencies. Current methods model co-occurrence action relationships by explicitly embedding class relations into the transformer network architecture. However, these approaches are not computationally efficient, as the network needs to compute all possible pair action class relations. In this paper, we overcome this by introducing a novel framework trained through a novel learning paradigm that allows the network to benefit from explicitly modelling temporal co-occurrence action dependencies during training without imposing their computational overhead during inference. Furthermore, to model temporal information, recent approaches extract multi-scale temporal features through hierarchical transformer-based networks. However, the self-attention mechanism in transformers inherently loses temporal positional information. We argue that combining this with multiple sub-sampling processes in hierarchical designs can lead to further loss of positional information. Preserving this information is essential for accurate action detection. In this paper, we address this issue by proposing a novel transformer network that (a) employs a non-hierarchical structure when modelling different ranges of temporal dependencies and (b) embeds relative positional encoding in its transformer layers. We evaluate the performance of our proposed approach on two challenging dense multi-label benchmark datasets and show that our method improves the current state-of-the-art results by 1.1% and 0.6% per-frame mAP on the Charades and MultiTHUMOS datasets, respectively, achieving new state-of-the-art per-frame mAP results at 26.5% and 44.6%, respectively. We also performed extensive ablation studies to examine the impact of the different components of our proposed approach. Our code will be released upon paper publication	https://doi.org/10.1007/s11263-026-02738-x	Faegheh Sardari, Armin Mustafa, Philip J. B. Jackson, Adrian Hilton
An HMM-Based Framework for Identity-Aware Long-Term Multi-Object Tracking From Sparse and Uncertain Identification: Use Case on Long-Term Tracking in Livestock.	The need for long-term multi-object tracking (MOT) is growing due to the demand for analyzing individual behaviors in videos that span several minutes. Unfortunately, due to identity switches between objects, the tracking performance of existing MOT approaches decreases over time, making them difficult to apply for long-term tracking. However, in many real-world applications, such as in the livestock sector, it is possible to obtain sporadic identifications for some of the animals from sources like feeders. To address the challenges of long-term MOT, we propose a new framework that combines both uncertain identities and tracking using a Hidden Markov Model (HMM) formulation. In addition to providing real-world identities to animals, our HMM framework improves the F1 score of ByteTrack, a leading MOT approach even with re-identification, on a 10-minute pig tracking dataset with 21 identifications at the pen's feeding station. We also show that our approach is robust to the uncertainty of identifications, with performance increasing as identities are provided more frequently. The improved performance of our HMM framework was also validated on the MOT17 and MOT20 benchmark datasets using both ByteTrack and FairMOT. The code for this new HMM framework and the new 10-minute pig tracking video dataset are available at: https://github.com/ngobibibnbe/uncertain-identity-aware-tracking	https://doi.org/10.1007/s11263-025-02711-0	Anne Marthe Sophie Ngo Bibinbe, Chiron Bang, Patrick Gagnon, Jamie Ahloy-Dallaire, Eric R. Paquet
An Interactive Conversational 3D Virtual Human.	This work presents Interactive Conversational 3D Virtual Human (ICo3D), a method for generating an interactive, conversational, and photorealistic 3D human avatar. Based on multi-view captures of a subject, we create an animatable 3D face model and a dynamic 3D body model, both rendered by splatting Gaussian primitives. Once merged together, they represent a lifelike virtual human avatar suitable for real-time user interactions. We equip our avatar with an LLM for conversational ability. During conversation, the audio speech of the avatar is used as a driving signal to animate the face model, enabling precise synchronization. We describe improvements to our dynamic Gaussian models that enhance photorealism: SWinGS++ for body reconstruction and HeadGaS++ for face reconstruction, and provide as well a solution to merge the separate face and body models without artifacts. We also present a demo of the complete system, showcasing several use cases of real-time conversation with the 3D avatar. Our approach offers a fully integrated virtual avatar experience, supporting both oral and written form interactions in immersive environments. ICo3D is applicable to a wide range of fields, including gaming, virtual assistance, and personalized education, among others.	https://doi.org/10.1007/s11263-025-02725-8	Richard Shaw, Youngkyoon Jang, Athanasios Papaioannou, Arthur Moreau, Helisa Dhamo, Zhensong Zhang, Eduardo Pérez-Pellitero
Anonymization Prompt Learning for Facial Privacy-Preserving Text-to-Image Generation.	Text-to-image diffusion models, such as Stable Diffusion, generate highly realistic images from text descriptions. However, the generation of certain content at such high quality raises concerns. A prominent issue is the accurate depiction of identifiable facial images, which could lead to malicious deepfake generation and privacy violations. In this paper, we propose Anonymization Prompt Learning (APL) to address this problem. Specifically, we train a learnable prompt prefix for text-to-image diffusion models, which forces the model to generate anonymized facial identities, even when prompted to produce images of specific individuals. Extensive quantitative and qualitative experiments demonstrate the successful anonymization performance of APL, which anonymizes any specific individuals without compromising the quality of non-identity-specific image generation. Furthermore, we reveal the plug-and-play property of the learned prompt prefix, enabling its effective application across different pretrained text-to-image models for transferrable privacy and security protection against the risks of deepfakes.	https://doi.org/10.1007/s11263-026-02783-6	Liang Shi, Jie Zhang, Shiguang Shan
AnyPattern: Towards In-context Image Copy Detection.	"This paper explores in-context learning for image copy detection (ICD), i.e., prompting an ICD model to identify replicated images with new tampering patterns without the need for additional training. The prompts (or the contexts) are from a small set of image-replica pairs that reflect the new patterns and are used at inference time. Such in-context ICD has good practical value, because it requires no fine-tuning and thus facilitates fast reaction to the emergence of unseen patterns. To accommodate the ""seen -> unseen"" generalization scenario, we construct the first large-scale pattern dataset named AnyPattern, which has the largest number of tampering patterns (90 for training and 10 for testing) among all the existing datasets. We benchmark AnyPattern with popular ICD methods and reveal that existing methods barely generalize to novel patterns. We further propose a simple in-context ICD method named ImageStacker. ImageStacker learns to select the most representative image-replica pairs and employs them as the pattern prompts in a stacking manner (rather than the popular concatenation manner). Experimental results show (1) training with our large-scale dataset substantially benefits pattern generalization (), (2) the proposed ImageStacker facilitates effective in-context ICD (another round of), and (3) AnyPattern enables in-context ICD, i.e., without such a large-scale dataset, in-context learning does not emerge even with our ImageStacker. Beyond the ICD task, we also demonstrate how AnyPattern can benefit artists, i.e., the pattern retrieval method trained on AnyPattern generalizes to identify style mimicry by text-to-image models. The project is publicly available at https://anypattern.github.io."	https://doi.org/10.1007/s11263-025-02633-x	Wenhao Wang, Yifan Sun, Zhentao Tan, Yi Yang
Are Minimal Radial Distortion Solvers Really Necessary for Relative Pose Estimation?	Estimating the relative pose between two cameras is a fundamental step in many applications such as Structure-from-Motion. The common approach to relative pose estimation is to apply a minimal solver inside a RANSAC loop. Highly efficient solvers exist for pinhole cameras. Yet, (nearly) all cameras exhibit radial distortion. Not modeling radial distortion leads to (significantly) worse results. However, minimal radial distortion solvers are significantly more complex than pinhole solvers, both in terms of run-time and implementation efforts. This paper compares radial distortion solvers with two simple-to-implement approaches that do not use minimal radial distortion solvers: The first approach combines an efficient pinhole solver with sampled radial undistortion parameters, where the sampled parameters are used for undistortion prior to applying the pinhole solver. The second approach uses a state-of-the-art neural network to estimate the distortion parameters rather than sampling them from a set of potential values. Extensive experiments on multiple datasets, and different camera setups, show that complex minimal radial distortion solvers are not necessary in practice. We discuss under which conditions a simple sampling of radial undistortion parameters is preferable over calibrating cameras using a learning-based prior approach. Code and newly created benchmark for relative pose estimation under radial distortion are available at https://github.com/kocurvik/rdnet.	https://doi.org/10.1007/s11263-025-02657-3	Viktor Kocur, Charalambos Tzamos, Yaqing Ding, Zuzana Berger Haladová, Torsten Sattler, Zuzana Kukelova
Associative Recurrent Bilinear Optimization for Domain-Generalized Binary Neural Networks.	Binary Neural Networks (BNNs) show great promise for resource-constrained embedded devices. However, BNNs with degraded representation possess less domain generalization (DG) capability in real-world scenarios. In this work, we observe that conventional DG methods are ineffective in pursuing the flat minimum for BNNs, which is primarily caused by the sign function. Furthermore, existing BNNs neglect the intrinsic bilinear relationship of real-valued weights and scaling factors, resulting in an ineffective optimization process. To address this issue, an Associative Recurrent Bilinear Optimization method for BNNs (ARBONNs) is proposed to improve the performance for DG tasks. Specifically, we introduce a recurrent optimization scheme and Associative Density-ReLU to sequentially backtrack the sparse latent weights, which utilize flat minimum and the density of bilinear variables as conditions to decide whether the backtracking operation is performed or not. In this way, ARBONNs can achieve a generalized solution of a flat minimum with a controllable learning process. Moreover, we introduce a domain invariant module (DIM) to effectively mitigate the impact of domain diversity on activation binarization. Our ARBONNs show impressive performance over state-of-the-art BNNs on various models on various DG tasks. As a generic method, ARBONNs also achieve significant performance improvement on the in-domain tasks.	https://doi.org/10.1007/s11263-026-02762-x	Sheng Xu, Yanjing Li, Mingze Wang, Chuanjian Liu, Baochang Zhang
Attention Reallocation: Towards Zero-cost and Controllable Hallucination Mitigation of MLLMs.	Multi-Modal Large Language Models (MLLMs) stand out in various tasks but still struggle with hallucinations. While recent training-free mitigation methods mostly introduce additional inference overhead through a retrospection strategy and contrastive decoding, we propose attention reallocation (AttnReal) to mitigate MLLM hallucinations with nearly zero extra cost. Our approach is motivated by the key observations that, MLLM's unreasonable attention distribution causes features to be dominated by historical output tokens, which further contributes to hallucinated responses because of the distribution gap between different token types. Based on the observations, AttnReal recycles excessive attention from output tokens and reallocates it to visual tokens, which reduces MLLM's reliance on language priors and ensures the decoding process depends more on the visual inputs. Notably, by controlling the intensity of AttnReal, we can achieve a wide-range trade-off between response faithfulness and overall performance. Comprehensive results from four hallucination benchmarks validate the effectiveness of AttnReal across six open-source MLLMs and three decoding strategies. Further evaluations on four general vision-language tasks and generated text quality demonstrate that AttnReal improves general visual understanding capabilities and output quality of MLLMs. All the codes will be open-sourced soon.	https://doi.org/10.1007/s11263-025-02607-z	Chongjun Tu, Peng Ye, Dongzhan Zhou, Lei Bai, Gang Yu, Tao Chen, Wanli Ouyang
Audio-Guided Video Scene Editing.	This paper introduces audio-guided video scene editing, a new task that dynamically modifies the background of a video based on audio input while preserving the integrity of the foreground. To address this challenge, we propose AudioScenic, a specialized framework designed to achieve four core objectives: integrating audio semantics into video scenes, maintaining the foreground's visual stability, ensuring alignment between audio condition and visual changes, and upholding temporal consistency throughout the video. At the heart of AudioScenic is a temporal-aware audio semantic injection mechanism, which effectively integrates audio conditions into the video background. To prevent undesired distortions in the foreground, we introduce SceneMasker, which ensures that foreground elements remain unaffected during editing. Furthermore, AudioScenic incorporates two key components: the Magnitude Modulator, which strengthens synchronization between auditory and visual elements over time, and the Frequency Fuser, which exploits the inherent frequency correlations between audio and video to enhance temporal coherence. With these innovations, AudioScenic generates visually diverse, seamlessly synchronized video scenes that adapt to the given audio while maintaining smooth frame transitions. Additionally, we introduce a new evaluation metric, the Semantic-Temporal Consistency Score (STC-Score), which offers a more comprehensive measurement of temporal consistency in video scene editing. Experimental results demonstrate that AudioScenic significantly outperforms existing methods, establishing it as a robust solution for synchronized video scene editing.	https://doi.org/10.1007/s11263-025-02640-y	Kaixin Shen, Ruijie Quan, Linchao Zhu, Dong Zheng, Jun Xiao, Yi Yang
AutoIT: Automated Image Tagging with Random Perturbation.	Vision-language pre-training (VLP) models have been explored as a means to bridge the text and image modalities, allowing to learn visual classifiers using only texts for image tagging. However, existing methods rely heavily on prompt tuning, which becomes computationally prohibitive when managing a vast array of candidate labels. In this study, we present a lightweight adapter network paired with an effective random perturbation mechanism, facilitating the creation of label classifiers with augmented cross-modal transfer capabilities. Together with large language models for multi-label text generation, a fully automated pipeline for image tagging is developed without relying on any manually curated data. Through comprehensive experiments on public benchmarks, we empirically reveal the nature of random perturbation in improving cross-modal alignment within the adapter's embedding space. Our findings also emphasize the critical role of pre-trained embeddings' magnitude in enhancing cross-modal classifier performance, challenging the prevailing focus on normalization of the embedding space. Alongside empirical results concerning the impact of both the quantity and quality of generated texts and the efficiency of the adapter, our pivotal insights into the automated image tagging paradigm are expected to advance future research efforts within the community.	https://doi.org/10.1007/s11263-026-02737-y	Xuelin Zhu, Jianshu Li, Jian Liu, Dongqi Tang, Jiawei Ge, Weijia Liu, Bo Liu, Jiuxin Cao
